"Характеристики";"Короткое название";"Артикул"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7944";"BUSHIDO кофе растворимый Blaсk Katana 50 г";"110296"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7945";"BUSHIDO кофе растворимый Original 50 г";"110297"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7948";"EGOISTE кофе растворимый сублимированный Noir 100 г";"116010"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7949";"CARTE NOIRE кофе растворимый Original 150 г";"110175"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7952";"ЧЕРНАЯ КАРТА Кофе растворимый Gold 285 г";"110203"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7953";"NESCAFE Кофе растворимый гранулированный Classic 500 г";"110288"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7955";"NESСAFE Кофе растворимый 3 в 1 Карамель, 50 стиков х 16 г";"110269"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7956";"NESСAFE Кофе растворимый 3 в 1 Мягкий, 50 стиков х 16 г";"110270"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7957";"DAVIDOFF Кофе растворимый Espresso 57  100 г";"110252"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7958";"TCHIBO Кофе растворимый Exclusive 190 г";"110244"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7960";"ЧЕРНАЯ КАРТА Кофе растворимый Gold 2 г х 100 шт (стики)";"110220"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7961";"EGOISTE кофе растворимый сублимированный Platinum 100 г";"110306"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7962";"CARTE NOIRE кофе растворимый Original 190 г";"110174"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7963";"BUSHIDO кофе растворимый Red Katana 100 г";"110299"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7964";"NESCAFE Кофе растворимый гранулированный Classic 750 г";"110289"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7973";"NESCAFE Кофе растворимый Classic 1 кг";"110285"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:CB-00011511";"IMPRESSO кофе растворимый Negro 100 г";"110082"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:CB-00011512";"IMPRESSO кофе растворимый Delicato 100 г";"110081"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:CB-00011515";"IMPRESSO кофе растворимый Ristretto 100 г";"110083"
