"Артикул";"Цена_Закупочная"
"790031";"63"
"790032";"102"
"790033";"133"
"790034";"111"
"790035";"137"
"770010"
"770011"
"770012"
"770013";"724"
"770014";"737"
"770015";"776"
"770016";"859"
"770017";"106"
"770018"
"770019"
"770020"
"770021"
"770022"
"770023"
"770024"
"770025"
"770026"
"770027"
"770028"
"770029"
"770030"
"770031"
"770032"
"770033"
"770034"
"770035"
"770036"
"770037"
"770038";"242"
"770039";"258"
"770040";"259"
"770041"
"770042"
"770043"
"770044";"364"
"770045";"368"
"770046";"381"
"770047";"388"
"770048";"388"
"770049";"388"
"770050";"429"
"770051";"434"
"770052";"434"
"770053";"439"
"770054";"483"
"770055";"507"
"770056";"531"
"770057";"533"
"770058";"537"
"770059";"523"
"770060"
"770061";"649"
"770062";"699"
"770063"
"770064";"768"
"770065"
"770066"
"770067";"799"
"770068";"824"
"770069";"958"
"770070";"389"
"770071";"1299"
"770072";"1260"
"770073";"1938"
"770074";"1260"
"770075";"1938"
"770076";"921"
"780010";"156"
"780011";"166"
"780012";"166"
"780013";"179"
"780014";"201"
"780015";"274"
"780016";"359"
"780017";"367"
"780018";"369"
"780019";"446"
"790100";"295"
"790101";"465"
"790102";"98"
"790103";"584"
"790104";"277"
"790105";"108"
"790106";"511"
"790107";"407"
"790108";"201"
"790109";"526"
"790110";"712"
"790111";"704"
"790112";"608"
"790113";"735"
"790114";"735"
"790115";"735"
"790116";"576"
"720010";"585"
"720011";"597"
"720012";"363"
"720013";"421"
"720014";"36"
"720015";"46"
"720016";"68"
"720017";"87"
"720018"
"720019";"107"
"720020";"107"
"720021";"112"
"720022";"132"
"720023";"138"
"720024";"150"
"720025";"150"
"720026";"162"
"720027";"202"
"720028";"202"
"720029";"202"
"720030";"56"
"720031";"63"
"720032";"67"
"720033";"99"
"720034";"99"
"720035";"116"
"720036"
"720037";"125"
"720038";"128"
"720039";"1419"
"720040";"1628"
"720041";"1628"
"720042";"1628"
"720043";"178"
"720044";"178"
"720045";"178"
"720046";"2365"
"720047";"257"
"720048";"286"
"720049";"370"
"720050";"42"
"720051";"80"
"720052";"80"
"720053";"763"
"720054";"763"
"720055";"763"
"720056";"101"
"720057";"101"
"720058";"101"
"720059";"61"
"720060";"61"
"720061";"51"
"720062";"61"
"720063";"64"
"720064";"79"
"720065";"107"
"720066";"130"
"720067";"58"
"720068";"58"
"720069";"75"
"720070";"110"
"720071";"110"
"720072";"69"
"720073";"97"
"720074";"63"
"720075"
"720076";"102"
"720077";"16"
"720078";"16"
"720079";"19"
"720080";"19"
