"Рекомендуемые товары";"Сопутствующие товары";"Артикул";"Короткое название"
"LORADO фрукты консервированные Ананас Кусочки в сиропе 850 мл;КУБАНОЧКА икра из кабачков 500 г";"HEINZ соус Вустерский Lea and Perrins 290 мл;HEINZ соус Терияки 230 мл;HEINZ соус Соевый оригинальный 150 мл";"180039";"ПОМИДОРКА  лечо  480 мл"
"LORADO фрукты консервированные Ананас Шайбы в сиропе 580 мл;КУБАНОЧКА икра кабачковая в стеклянной банке 460 г";"КУБАНОЧКА томатная паста 140 г;HEINZ соус Вустерский Lea and Perrins 290 мл;HEINZ соус Терияки 230 мл";"160065";"ДОБРОФЛОТ Горбуша Натуральная 245 г"
"LORADO фрукты консервированные Ананас Шайбы в сиропе 850 мл;КУБАНОЧКА кукуруза сладкая 425 мл";"КУБАНОЧКА томатная паста дой-пак 200 г;КУБАНОЧКА томатная паста 140 г;HEINZ соус Вустерский Lea and Perrins 290 мл";"160067";"ДОБРОФЛОТ Сайра Тихоокеанская Натуральная 245 г"
"LORADO фрукты консервированные Груши Половинки в сиропе 850 мл;КУБАНОЧКА лечо по-болгарски 720 мл";"КУБАНОЧКА томатная паста саше 100 г;КУБАНОЧКА томатная паста дой-пак 200 г;КУБАНОЧКА томатная паста 140 г";"160068";"ДОБРОФЛОТ Сардина Тихоокеанская ИВАСИ Натуральная 245 г"
"LORADO фрукты консервированные Коктейль Тропический в сиропе 850 мл;КУБАНОЧКА огурцы маринованые 1,6 кг";"КУБАНОЧКА томатная паста в стеклянной банке 1 кг;КУБАНОЧКА томатная паста саше 100 г;КУБАНОЧКА томатная паста дой-пак 200 г";"160069";"ДОБРОФЛОТ Скумбрия Дальневосточная Натуральная с Добавлением Масла 245 г"
"LORADO малина дробленая с сахаром 370 мл;КУБАНОЧКА огурцы маринованые 9-11 см 680 мл";"КУБАНОЧКА томатная паста в стеклянной банке 1,8 кг;КУБАНОЧКА томатная паста в стеклянной банке 1 кг;КУБАНОЧКА томатная паста саше 100 г";"160070";"ДОБРОФЛОТ Тунец кусковой натуральный 185 гр"
"LORADO персики половинки в сиропе 850 г;КУБАНОЧКА овощи запеченные на мангале 620 г";"КУБАНОЧКА томатная паста в стеклянной банке 280 г;КУБАНОЧКА томатная паста в стеклянной банке 1,8 кг;КУБАНОЧКА томатная паста в стеклянной банке 1 кг";"160071";"ДОБРОФЛОТ Тунец рубленный натуральный в масле 185 гр"
"LORADO варенье Абрикосовое 370 мл;КУБАНОЧКА томаты маринованные 1,6 л";"LORADO соус Лечо 720 мл;КУБАНОЧКА томатная паста в стеклянной банке 280 г;КУБАНОЧКА томатная паста в стеклянной банке 1,8 кг";"160072";"КАПИТАН МОРЕЙ Бычки обжаренные в томатном соусе 240 гр"
"LORADO ягоды консервированные Клубника в сиропе 425 мл;КУБАНОЧКА томаты в томатном соке 720 мл";"МАКА кетчуп Шашлычный 900 г;LORADO соус Лечо 720 мл;КУБАНОЧКА томатная паста в стеклянной банке 280 г";"160073";"КАПИТАН МОРЕЙ Кальмар натуральный 250 г"
"ПАПРИЧИ сироп Лимонный 330 мл;LORADO фасоль консервированная 425 мл";"MIVIMEX соус чили ассорти 200 г;МАКА кетчуп Шашлычный 900 г;LORADO соус Лечо 720 мл";"160074";"КАПИТАН МОРЕЙ Килька балтийская обжаренная в томатном соусе 240 гр"
"ПАПРИЧИ сироп Малиновый 330 мл;LORADO фасоль красная 425 мл";"MIVIMEX соус чили Кавказский 200 г;MIVIMEX соус чили ассорти 200 г;МАКА кетчуп Шашлычный 900 г";"160075";"КАПИТАН МОРЕЙ печень трески 230 г"
"ПАПРИЧИ сироп Вишневый 330 мл;LORADO горошек консервированный 425 мл";"МОЯ СЕМЬЯ соус Сырный 240 г;MIVIMEX соус чили Кавказский 200 г;MIVIMEX соус чили ассорти 200 г";"160076";"КАПИТАН МОРЕЙ Сельдь атлантическая натуральная с добавлением масла 250 гр"
"ПАПРИЧИ сироп Клубничный 330 мл;LORADO грибы маринованные Грибной Бочонок 314 мл";"ПАПРИЧИ соус Барбекю 320 г;МОЯ СЕМЬЯ соус Сырный 240 г;MIVIMEX соус чили Кавказский 200 г";"160077";"КАПИТАН МОРЕЙ шпроты в масле 160 г"
"LORADO персики половинки в сиропе 0,43 л;LORADO грибы маринованные Грузди 314 мл";"ПАПРИЧИ соус Для спагетти 320 г;ПАПРИЧИ соус Барбекю 320 г;МОЯ СЕМЬЯ соус Сырный 240 г";"160078";"КАПИТАН МОРЕЙ шпроты в масле 240 г"
"ГРОДФУД Мясо цыпленка в собственном соку 350 г;LORADO грибы маринованные Опята 314 мл";"ПАПРИЧИ соус Кисло-сладкий 320 г;ПАПРИЧИ соус Для спагетти 320 г;ПАПРИЧИ соус Барбекю 320 г";"160079";"КАПИТАН МОРЕЙ Тунец натуральный 250 г"
"ГРОДФУД Паштет индюшиный печеночный 100 гр;LORADO корнишоны маринованные 3-6 см 370 мл";"ПАПРИЧИ соус Остро-сладкий 320 г;ПАПРИЧИ соус Кисло-сладкий 320 г;ПАПРИЧИ соус Для спагетти 320 г";"160080";"МАЯК икра сазана 125 г"
"ГРОДФУД Паштет Куриный Печеночный 100 г;LORADO корнишоны маринованные 3-6 см 720 мл";"ПАПРИЧИ соус С Ананасом 300 г;ПАПРИЧИ соус Остро-сладкий 320 г;ПАПРИЧИ соус Кисло-сладкий 320 г";"160081";"МАЯК икра сельди 125 г"
"ГРОДФУД тушеная говядина 338 г;LORADO маслины черные без косточек 314 мл";"ПАПРИЧИ соус Шашлычный 320 г;ПАПРИЧИ соус С Ананасом 300 г;ПАПРИЧИ соус Остро-сладкий 320 г";"160082";"ОТ ИВАНЫЧА килька черноморская неразделанная в томатном соусе 240 г"
"ГРОДФУД Тушеная Свинина 338 г;LORADO маслины черные с косточками 314 мл";"ПОМИДОРКА томатная паста 140 г;ПАПРИЧИ соус Шашлычный 320 г;ПАПРИЧИ соус С Ананасом 300 г";"160083";"РЫБНОЕ МЕНЮ Килька балтийская неразделанная в томатном соусе 230 гр"
